development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
QUEENSBRIDGE NORTH,793750572.23,1543,514420.33197018795,Apartments,228065171.39,Heating,172292996.3,Plumbing,113323107.41
QUEENSBRIDGE SOUTH,853545926.4699999,1604,532135.864382793,Apartments,253917478.17999998,Heating,171249433.41,Plumbing,115590064.1
RALPH AVENUE REHAB,65377980.92,118,554050.6857627119,Apartments,23960659.41,Building Exterior/Facade/Window,11691143.06,Interior Electrical/Lighting,6146681.55
RANDALL AVENUE-BALCOM AVENUE,121179880.17,252,480872.54035714286,Apartments,40617352.54,Heating,22122996.110000003,Plumbing,13366725.32
RANGEL,552162969.57,984,561141.2292378049,Apartments,186546602.78,Heating,94320984.43,Building Exterior/Facade/Window,72450797.2
RAVENSWOOD,1154963579.06,2166,533224.1823915051,Apartments,401939564.04,Heating,185239950.70000002,Building Exterior/Facade/Window,161969624.15
RED HOOK EAST,718971687.93,1411,509547.61724308995,Apartments,213788608.94,Plumbing,123980661.67,Heating,113136227.36
RED HOOK WEST,762267576.05,1480,515045.6594932432,Apartments,236764649.81,Plumbing,179145918.24,Heating,100898855.21
REDFERN,322315461.93,604,533634.8707450331,Apartments,120201537.36999999,Heating,43742790.94,Building Exterior/Facade/Window,33338494.639999997
REHAB PROGRAM (COLLEGE POINT),10431094.370000001,13,802391.8746153847,Apartments,2268492.99,Plumbing,1696857.16,Building Exterior/Facade/Window,1638502.24
REHAB PROGRAM (DOUGLASS REHABS),61002254.64,112,544662.9878571428,Apartments,19066343.17,Building Exterior/Facade/Window,14758075.29,Interior Electrical/Lighting,5439001.1899999995
REHAB PROGRAM (TAFT REHABS),89172374.74,156,571617.7867948718,Apartments,30226396.56,Building Exterior/Facade/Window,18316588.15,Heating,7668821.98
REHAB PROGRAM (WISE REHAB),21125588.37,40,528139.7092500001,Apartments,7670124.65,Building Exterior/Facade/Window,3913386.78,Heating,2823875.97
REID APARTMENTS,83892440.45,230,364749.7410869565,Apartments,37682954.54,Heating,16389554.18,Common Areas/Lobbies,7146187.02
RICHMOND TERRACE,259315483.15,489,530297.5115541923,Apartments,82549601.95,Heating,50989511.74,Building Exterior/Facade/Window,39897624.06
RIIS,638294546.68,1191,535931.6093031066,Apartments,211440298.49,Heating,123308044.6,Building Exterior/Facade/Window,97239321
RIIS II,302553248.04,578,523448.5260207613,Apartments,104089928.2,Heating,59877087.88,Building Exterior/Facade/Window,43578166.27
ROBBINS PLAZA,51663429.26,150,344422.8617333333,Apartments,23117002.73,Heating,7346739.510000001,Building Exterior/Facade/Window,6877931.67
